aID,Bag#,Size,Class,Order,Family,Genus,Species,count,Element,Portion,Segment,Side,Fusion,Scan1,Scan2,Scan3,Scan4,FFI.A,FFI.O,FFI.T,Ipcts,CM,Weath1,Weath2,Carn,Rod,Burn,MaxD,CorT,Comments
35,M16-17-128,u,-,-,-,-,-,3,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"13.34, 12.54, 6.13",-,
36,M16-17-113,u,-,-,-,-,-,6,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"22.58, 14.87, 13.57, 15.04, 12.33, 11.07",-,
37,M16-17-113,u,-,-,-,-,-,10,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"10.66, 10.10, 6.59, 8.04, 9.91, 8.06, 23.71, 10.57, 10.55, 7.94, 10.78",-,
38,M16-17-1,m,Mammalia,-,-,-,-,2,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"14.98, 16.88",-,
39,M16-17-1,u,Mammalia,-,-,-,-,2,UN,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"5.97, 8.71",-,fragmentary podial bone from a small or medium animal
40,M16-17-1,s,Mammalia,Lagomorpha,Leporidae,Sylvilagus,-,1,MUMX,CO,CO,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,11.03,-,
41,M16-17-1,s,Mammalia,Lagomorpha,Leporidae,Sylvilagus,-,1,PM3MR,CO,CO,L,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,9.75,-,
42,M16-17-168,m,Mammalia,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,5,5,0,0,0,"12.97, 10.67",-,
43,M16-17-168,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,8.89,-,
44,M16-17-168,m,Mammalia,-,-,-,-,1,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,8.12,-,
45,M16-17-147,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"8.82, 5.67",-,
46,M16-17-147,u,-,-,-,-,-,5,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"10.99, 5.64, 8.41, 5.29, 4.78",-,
47,M16-17-113,s,Gastropoda,-,-,-,-,1,SHELL,CO,CO,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,8.25,-,
48,M16-17-121,m,Mammalia,-,-,-,-,1,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,6.55,-,
49,M16-17-93,m,Mammalia,Artiodactyla,-,-,-,2,MC,PR,CO,R,3,MC1,MC2,-,-,0,0,1,0,0,1,1,0,0,0,"34.94, 32.13",3.57,split in half longitudinally
50,M16-17-93,m,Mammalia,Artiodactyla,-,-,-,1,MP,DS,FR,U,3,-,-,-,-,0,0,1,0,0,1,1,0,0,0,31.56,2.81,axial or abaxial portion
51,M16-17-93,m,Mammalia,-,-,-,-,1,SKO,US,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,36.99,-,
52,M16-17-93,m,Mammalia,-,-,-,-,1,SC,FB,FR,U,4,-,-,-,-,-,-,-,0,0,1,1,0,0,0,37.32,-,
53,M16-17-93,m,Mammalia,Artiodactyla,-,-,-,1,MC,SH,FR,U,4,-,-,-,-,1,1,1,0,0,3,3,0,0,0,21.06,7.2,
54,M16-17-93,m,Mammalia,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,3,"18.63, 15.44","5.01, 3.62",
55,M16-17-93,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,0,13.2,3.02,
56,M16-17-93,u,-,-,-,-,-,1,UN,FB,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,15.43,-,
57,M16-17-93,m,Mammalia,-,-,-,-,4,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"25.31, 13.89, 15.49, 18.70",-,
58,M16-17-93,u,-,-,-,-,-,5,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"9.69, 11.98, 10.10, 13.61, 11.83",-,
59,M16-17-93,u,-,-,-,-,-,9,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"11.30, 9.25, 4.36, 9.67, 9.07, 11.85, 12.19, 7.61, 8.19",-,
60,M16-17-93,s,-,-,-,-,-,1,LB,SH,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,21.23,1.51,
61,M16-17-93,s,-,-,-,-,-,3,LB,SH,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"31.01, 9.33, 11.74","1.38, 0.96, 1.19",
62,M16-17-133,s,-,-,-,-,-,3,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"24.75, 6.24, 10.40",-,
63,M16-17-171,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"9.32, 5.86",-,
64,M16-17-171,s,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,17.33,1.15,
65,M16-17-148,s,Bivalvia,-,-,-,-,3,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"13.30, 21.66, 24.82",-,
66,M16-17-175,s,Gastropoda,-,-,-,-,1,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,7.98,-,
67,M16-17-1,s,Gastropoda,-,-,-,-,1,SHELL,CO,CO,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,6.56,-,
68,M16-17-1,s,-,-,-,-,-,1,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,6.22,-,
69,M16-17-20,s,Bivalvia,-,-,-,-,7,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"21.43, 15.87, 12.48, 14.45, 8.60, 7.93, 9.25",-,
70,M16-17-146,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,0,15.34,2.93,
71,M16-17-18,s,Bivalvia,-,-,-,-,5,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"17.23, 11.73, 9.62, 12.71, 10.46",-,
72,M16-17-23,s,Gastropoda,-,-,-,-,5,SHELL,CO,CO,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"8.59, 9.01, 7.84, 9.00, 6.42",-,
73,M16-17-23,s,Bivalvia,-,-,-,-,9,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"19.75, 11.94, 11.64, 12.35, 9.07, 9.76, 8.30, 9.62, 6.84",-,
74,M16-17-23,m,Mammalia,-,-,-,-,6,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"15.73, 18.23, 21.96, 16.98, 20.49, 46.05",-,
75,M16-17-23,u,-,-,-,-,-,9,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"25.57, 14.88, 18.83, 13.90, 12.93, 15.37, 11.45, 12.43, 15.42",-,
76,M16-17-23,m,Mammalia,-,-,-,-,4,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,0,"38.56, 25.00, 22.28, 19.76","3.88, 3.32, 2.56, 4.00",
77,M16-17-23,m,Mammalia,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,2,2,1,0,0,1,1,0,0,3,"15.42, 13.72","4.01, 4.13",
78,M16-17-23,s,Mammalia,Lagomorpha,Leporidae,Sylvilagus,-,1,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,9.45,-,
79,M16-17-23,m,Mammalia,Artiodactyla,Cervidae,-,-,1,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,18.65,-,"too fragmentary for genus level ID, but likely deer"
80,M16-17-23,s,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,11.52,0.81,
81,M16-17-23,s,Reptilia,Testudines,-,-,-,1,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,12.14,-,
82,M16-17-23,s,Mammalia,-,-,-,-,1,IS,CO,CR,L,4,IS1,-,-,-,-,-,-,0,0,-,-,0,0,0,23.6,-,"Racoon size, too weathered and fragmentary for positive ID"
83,M16-17-23,m,Mammalia,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"18.20, 15.84",-,
84,M16-17-23,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,16.03,-,
85,M16-17-23,u,-,-,-,-,-,12,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"16.56, 13.99, 11.54, 9.96, 12.60, 11.41, 10.42, 13.43, 11.23, 9.89, 6.09, 12.99",-,
86,M16-17-114,s,Gastropoda,-,-,-,-,1,SHELL,CO,CO,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,20.74,-,
87,M16-17-141,s,Reptilia,Testudines,-,-,-,2,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"14.32, 8.43",-,
88,M16-17-141,u,-,-,-,-,-,5,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"6.81, 5.59, 9.43, 8.99, 7.76",-,
89,M16-17-141,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,10.57,-,
90,M16-17-141,u,-,-,-,-,-,3,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"7.82, 5.54, 9.54",-,
91,M16-17-141,m,Mammalia,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,1,1,0,0,0,"41.45, 22.28","2.13, 2.25",
92,M16-17-93,s,-,-,-,-,-,3,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"10.00, 7.43, 6.82",-,
93,M16-17-70,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,-,1,M2MR,CO,CO,L,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,24.82,-,Wear approximates the 3-4 yo comparative mandibles
94,M16-17-70,m,Mammalia,Carnivora,-,-,-,1,CUUN,CO,CO,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,25.72,-,"coyote/dog size canine, most enamel missing"
95,M16-17-133,s,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,8.17,0.42,
96,M16-17-133,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,8.57,-,
97,M16-17-133,s,Reptilia,Testudines,-,-,-,5,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"9.38, 12.10, 11.54, 7.15, 8.87",-,
98,M16-17-133,u,-,-,-,-,-,7,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"9.28, 8.07, 6.81, 7.55, 7.60, 12.39, 8.57",-,
99,M16-17-133,u,-,-,-,-,-,4,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"5.81, 7.33, 3.94, 13.69",-,
100,M16-17-70,s,-,-,-,-,-,3,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"9.87, 12.99, 12.27",-,
101,M16-17-109,s,Bivalvia,-,-,-,-,4,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"58.01, 26.02, 19.30, 10.35",-,
102,M16-17-2,s,Mammalia,Rodentia,-,-,-,1,RD,PR,CO,U,3,RA1,RA2,-,-,-,-,-,0,0,-,-,0,0,3,7.87,0.62,
103,M16-17-2,m,Mammalia,-,-,-,-,1,HM,DDS,PL,L,4,-,-,-,-,-,-,-,1,0,1,1,0,0,0,32.14,3.14,
104,M16-17-2,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,-,1,PM2MR,CO,CO,R,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,10.2,-,Wear is most similar to 8 yo comparative mandible
105,M16-17-2,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,-,1,M2MR,CO,CO,L,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,25.18,-,Wear is most similar to 3 yo comparative mandible
106,M16-17-2,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,-,1,PM3MR,CO,CR,R,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,12.31,-,Wear is most similar to 7-8 yo comparative mandibles
107,M16-17-2,m,Mammalia,Artiodactyla,-,-,-,5,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"15.92, 14.30, 12.01, 11.43, 8.81, 10.35",-,
108,M16-17-2,s,Reptilia,Squamata,-,-,-,1,CE,CO,CO,A,3,-,-,-,-,-,-,-,0,0,-,-,0,0,0,12.16,-,"prnounced haemel spine, but too rounded for Crotalidae"
109,M16-17-2,m,Mammalia,-,-,-,-,1,RB,BL,FR,U,5,-,-,-,-,1,1,1,0,0,1,1,0,0,1,19.58,-,
110,M16-17-2,m,Mammalia,-,-,-,-,1,RB,BL,FR,U,5,-,-,-,-,2,2,2,0,0,1,1,0,0,0,22.58,-,
111,M16-17-2,s,Mammalia,-,-,-,-,1,PHF,DSS,CO,U,3,PH2,-,-,-,-,-,-,0,0,-,-,0,0,0,13.52,0.4,
112,M16-17-2,s,Mammalia,Rodentia,-,-,-,1,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,11.1,-,
113,M16-17-2,s,Mammalia,Lagomorpha,Leporidae,Sylvilagus,-,1,RD,DSS,CO,L,3,RA4,-,-,-,-,-,-,0,0,-,-,0,0,0,21.04,0.72,
114,M16-17-2,s,Mammalia,-,-,-,-,1,LB,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,10.7,1.71,
115,M16-17-2,s,Mammalia,Lagomorpha,Leporidae,Sylvilagus,-,1,MP,DS,CO,U,3,-,-,-,-,-,-,-,0,0,-,-,0,0,0,9,0.57,
116,M16-17-2,m,Mammalia,-,-,-,-,10,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"16.6, 35.59, 33.69, 15.63, 13.23, 17.76, 23.03, 15.95, 14.64, 10.71",-,
117,M16-17-2,m,Mammalia,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,0,"32.69, 19.99","4.51, 3.03",
118,M16-17-2,u,-,-,-,-,-,84,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"8.13, 7.45, 11.13, 6.64, 9.34, 6.71, 11.99, 4.80, 10.59, 11.48, 8.63, 9.04, 8.80, 7.96, 7.68, 11.47, 14.40, 8.52, 15.50, 16.60, 12.08, 7.52, 7.88, 11.66, 9.81, 7.84, 5.74, 6.58, 7.68, 10.45, 9.61, 12.36, 6.35, 8.42, 11.20, 7.83, 8.85, 6.54, 19.52, 10.53, 4.56, 10.86, 13.44, 9.19, 12.25, 17.70, 10.38, 9.73, 11.60, 8.34, 8.95, 16.52, 13.11, 18.92, 9.36, 7.65, 7.14, 6.01, 16.93, 9.05, 9.97, 5.84, 8.93, 12.97, 14.41, 14.36, 14.26, 13.22, 13.52, 9.22, 8.63, 6.86, 13.45, 17.31, 8.49, 11.68, 9.38, 12.46, 17.67, 6.81, 10.19, 10.35, 10.02, 13.34",-,
119,M16-17-2,u,-,-,-,-,-,2,TRF,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"6.27, 6.53",-,
120,M16-17-2,s,-,-,-,-,-,14,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"17.30, 15.60, 18.37, 7.48, 15.46, 9.19, 11.99, 11.27, 13.22, 12.77, 14.30, 7.72, 12.32, 11.57","1.56, 1.45, 0.46, 0.57, 0.84, 0.93, 1.03, 1.09, 0.57, 1.67, 1.31, 1.30, 0.68, 1.46",
121,M16-17-2,s,Bivalvia,-,-,-,-,16,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"35.55, 29.74, 25.43, 22.48, 14.84, 12.51, 13.32, 11.20, 7.97, 11.55, 12.01, 15.05, 8.74, 7.97, 12.71, 7.15",-,
122,M16-17-2,s,Reptilia,Testudines,-,-,-,8,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"15.21, 12.86, 11.12, 14.07, 12.41, 10.63, 12.58, 10.47",-,
123,M16-17-2,s,-,-,-,-,-,6,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"16.01, 14.84, 13.08, 13.60, 7.16, 6.63","1.95, 2.37, 1.51, 1.14, 1.82, 0.68",
124,M16-17-2,s,Gastropoda,-,-,-,-,1,SHELL,CO,CO,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,6.63,-,
125,M16-17-2,s,Gastropoda,-,-,-,-,6,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"8.00, 7.00, 10.73, 5.28, 6.10, 8.60",-,
126,M16-17-2,m,Mammalia,-,-,-,-,6,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,3,"16.39, 13.70, 17.28, 20.22, 18.55, 18.26","2.29, 3.91, 5.85, 3.26, 3.35, 3.80",
127,M16-17-2,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,0,0,1,21.61,3.63,
128,M16-17-2,m,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,2,2,2,0,0,1,1,0,0,0,39.83,-,
129,M16-17-2,m,Mammalia,-,-,-,-,25,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,0,"12.50, 13.30, 20.33, 19.40, 20.11, 30.88, 19.23, 15.73, 15.45, 12.76, 35.37, 36.02, 29.77, 25.40, 38.22, 19.03, 13.40, 12.17, 26.46, 17.28, 18.44, 15.19, 20.94, 20.92, 24.20","2.84, 4.39, 2.57, 2.89, 3.71, 3.71, 3.72, 2.59, 3.09, 1.52, 4.21, 2.97, 2.30, 3.91, 3.05, 6.08, 1.86, 3.75, 4.02, 3.08, 3.04, 3.71, 3.70, 2.91, 4.84",
130,M16-17-2,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,2,2,2,0,0,5,5,0,0,0,22.13,3.95,
131,M16-17-2,m,Mammalia,-,-,-,-,28,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"10.24, 18.50, 19.17, 13.95, 10.39, 12.03, 16.00, 17.50, 16.56, 14.98, 21.65, 10.87, 12.94, 13.90, 27.16, 9.13, 10.46, 11.50, 15.21, 12.56, 9.19, 12.47, 12.57, 14.72, 12.12, 9.07, 12.04, 9.50",-,
132,M16-17-2,u,-,-,-,-,-,73,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"11.45, 6.45, 13.59, 10.51, 7.51, 10.03, 9.34, 11.14, 9.51, 7.75, 13.73, 15.94, 10.15, 12.42, 11.10, 10.44, 9.13, 9.85, 14.12, 10.65, 10.86, 11.96, 13.00, 8.44, 6.25, 7.24, 6.56, 5.26, 6.18, 7.24, 8.80, 12.58, 12.38, 11.29, 8.54, 10.12, 6.15, 9.81, 8.00, 8.60, 9.71, 7.24, 9.77, 9.63, 5.62, 7.18, 11.26, 5.83, 11.77, 10.04, 7.63, 8.75, 8.49, 7.16, 8.29, 11.20, 9.89, 9.02, 7.27, 8.41, 7.93, 8.58, 8.69, 10.45, 11.40, 9.51, 10.09, 8.68, 10.03, 10.31, 6.63, 6.53, 6.31",-,
133,M16-17-19,s,-,-,-,-,-,4,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"9.91, 8.38, 8.47, 8.07",-,
134,M16-17-110,m,Mammalia,Carnivora,-,-,-,1,CUUN,CO,CO,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,28.12,-,coyote size
135,M16-17-28,m,Mammalia,Artiodactyla,-,-,-,1,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,1,0,18.45,-,root frag
136,M16-17-28,m,Mammalia,-,-,-,-,1,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,10.75,-,
137,M16-17-9,s,Mammalia,Lagomorpha,Leporidae,Sylvilagus,-,1,MUMX,CO,DR,L,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,9.67,-,
138,M16-17-60,s,Bivalvia,-,-,-,-,3,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"29.16, 10.11, 6.91",-,
139,M16-17-109,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"26.99, 13.81",-,
140,M16-17-109,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,24.11,-,
